Date,Direction,Coin,Futures,Transaction amount,Average Price,Trading volume,Realized P/L,NetProfits,Fee
2025-12-01 01:32:21,Open long,USDT,SOLUSDT,0.2,129.13,25.826,0,0,-0.0051652
2025-12-01 01:21:12,Close long,USDT,SOLUSDT,0.2,130.178,26.0356,-0.169,-0.18462136,-0.01562136
2025-12-01 01:19:06,Close long,USDT,ADAUSDT,70,0.3985,27.895,-0.21,-0.226737,-0.016737
2025-12-01 01:16:25,Open long,USDT,SOLUSDT,0.2,131.023,26.2046,0,0,-0.00524092
2025-12-01 01:10:35,Open long,USDT,ADAUSDT,70,0.4015,28.105,0,0,-0.016863
2025-12-01 01:06:03,Close long,USDT,SOLUSDT,0.2,132.464,26.4928,-0.1804,-0.19629568,-0.01589568
2025-12-01 00:57:03,Open long,USDT,SOLUSDT,0.2,133.366,26.6732,0,0,-0.00533464
2025-11-28 17:11:53,Close short,USDT,BTCUSDT,0.0001,91809.6,9.18096,0.07753,0.072021424,-0.005508576
2025-11-28 14:48:06,Open short,USDT,BTCUSDT,0.0001,92584.9,9.25849,0,0,-0.001851698
2025-11-27 03:43:51,Close short,USDT,BTCUSDT,0.0001,91689.9,9.16899,-0.082,-0.087501394,-0.005501394
2025-11-27 02:57:43,Open short,USDT,BTCUSDT,0.0001,90869.9,9.08699,0,0,-0.001817398
2025-11-27 02:05:01,Close short,USDT,BTCUSDT,0.0001,90772,9.0772,-0.08315,-0.08859632,-0.00544632
2025-11-26 21:14:31,Open short,USDT,BTCUSDT,0.0001,89940.5,8.99405,0,0,-0.00179881
2025-11-26 19:22:43,Close short,USDT,SOLUSDT,0.2,144.093,28.8186,-0.1796,-0.19689116,-0.01729116
2025-11-26 19:15:34,Open short,USDT,SOLUSDT,0.2,143.195,28.639,0,0,-0.0057278
2025-11-26 18:42:46,Close short,USDT,BTCUSDT,0.0001,89325.7,8.93257,-0.08102,-0.086379542,-0.005359542
2025-11-26 18:28:01,Open short,USDT,BTCUSDT,0.0001,88515.5,8.85155,0,0,-0.00177031
2025-11-25 02:48:43,Close short,USDT,BTCUSDT,0.0001,87739,8.7739,0.12489,0.11962566,-0.00526434
2025-11-24 22:05:06,Open short,USDT,BTCUSDT,0.0001,88987.9,8.89879,0,0,-0.001779758
2025-11-24 21:47:48,Close short,USDT,BTCUSDT,0.0001,88997.1,8.89971,-0.08078,-0.086119826,-0.005339826
2025-11-24 18:57:15,Open short,USDT,BTCUSDT,0.0001,88189.3,8.81893,0,0,-0.001763786
2025-11-24 18:34:16,Close short,USDT,SOLUSDT,0.2,136.829,27.3658,-0.176,-0.19241948,-0.01641948
2025-11-24 18:25:36,Open short,USDT,SOLUSDT,0.2,135.949,27.1898,0,0,-0.00543796
2025-11-24 16:06:32,Close long,USDT,BTCUSDT,0.0001,86587,8.6587,0.1282,0.12300478,-0.00519522
2025-11-24 15:50:12,Open long,USDT,BTCUSDT,0.0001,85305,8.5305,0,0,-0.0017061
2025-11-24 15:35:05,Close long,USDT,BTCUSDT,0.0001,86551.1,8.65511,0.07324,0.068046934,-0.005193066
2025-11-24 10:27:35,Open long,USDT,BTCUSDT,0.0001,85818.7,8.58187,0,0,-0.001716374
2025-11-23 08:27:41,Close short,USDT,BTCUSDT,0.0001,85381.8,8.53818,0.06864,0.063517092,-0.005122908
2025-11-23 02:53:32,Open short,USDT,BTCUSDT,0.0001,86068.2,8.60682,0,0,-0.001721364
2025-11-23 01:31:01,Close long,USDT,ADAUSDT,76,0.4031,30.6356,-0.2356,-0.25398136,-0.01838136
2025-11-23 00:34:51,Open long,USDT,ADAUSDT,76,0.4062,30.8712,0,0,-0.00617424
2025-11-23 00:16:18,Close long,USDT,ADAUSDT,77,0.4042,31.1234,-0.231,-0.24967404,-0.01867404
2025-11-23 00:00:40,Open long,USDT,ADAUSDT,77,0.4072,31.3544,0,0,-0.00627088
2025-11-22 09:19:12,Close long,USDT,ADAUSDT,60,0.4026,24.156,-0.186,-0.2004936,-0.0144936
2025-11-22 09:19:12,Close long,USDT,ADAUSDT,15,0.4026,6.039,-0.0465,-0.0501234,-0.0036234
2025-11-22 09:19:12,Close long,USDT,ADAUSDT,3,0.4026,1.2078,-0.0093,-0.01002468,-0.00072468
2025-11-22 07:35:47,Open long,USDT,ADAUSDT,78,0.4057,31.6446,0,0,-0.00632892
2025-11-22 06:15:03,Close long,USDT,ADAUSDT,79,0.4011,31.6869,-0.2449,-0.26391214,-0.01901214
2025-11-22 05:55:41,Open long,USDT,ADAUSDT,79,0.4042,31.9318,0,0,-0.00638636
2025-11-22 05:04:22,Close long,USDT,ADAUSDT,62,0.4035,25.017,-0.1984,-0.2134102,-0.0150102
2025-11-22 05:04:22,Close long,USDT,ADAUSDT,15,0.4035,6.0525,-0.048,-0.0516315,-0.0036315
2025-11-22 05:04:22,Close long,USDT,ADAUSDT,3,0.4035,1.2105,-0.0096,-0.0103263,-0.0007263
2025-11-22 04:00:45,Open long,USDT,ADAUSDT,80,0.4067,32.536,0,0,-0.0195216
2025-11-22 03:48:36,Close long,USDT,ADAUSDT,78,0.4047,31.5666,-0.2496,-0.26853996,-0.01893996
2025-11-22 03:38:51,Close short,USDT,BTCUSDT,0.0001,84282.1,8.42821,0.05973,0.054673074,-0.005056926
2025-11-22 01:24:15,Open long,USDT,ADAUSDT,78,0.4079,31.8162,0,0,-0.00636324
2025-11-21 23:51:04,Close long,USDT,ADAUSDT,82,0.4016,32.9312,-0.2542,-0.27395872,-0.01975872
2025-11-21 22:25:34,Open short,USDT,BTCUSDT,0.0001,84879.4,8.48794,0,0,-0.001697588
2025-11-21 21:40:09,Open long,USDT,ADAUSDT,82,0.4047,33.1854,0,0,-0.00663708
2025-11-21 21:24:13,Close short,USDT,BTCUSDT,0.0001,83611.4,8.36114,0.0947,0.089683316,-0.005016684
2025-11-21 21:20:13,Close long,USDT,ADAUSDT,79,0.4039,31.9081,-0.2449,-0.26404486,-0.01914486
2025-11-21 21:06:47,Open long,USDT,ADAUSDT,79,0.407,32.153,0,0,-0.0192918
2025-11-21 19:38:28,Open short,USDT,BTCUSDT,0.0001,84558.4,8.45584,0,0,-0.001691168
2025-11-21 19:17:26,Close long,USDT,ADAUSDT,80,0.4047,32.376,-0.248,-0.2674256,-0.0194256
2025-11-21 19:11:25,Open long,USDT,ADAUSDT,80,0.4078,32.624,0,0,-0.0195744
2025-11-21 19:08:36,Close short,USDT,BTCUSDT,0.0001,83770.6,8.37706,0.12027,0.115243764,-0.005026236
2025-11-21 18:55:10,Open short,USDT,BTCUSDT,0.0001,84973.3,8.49733,0,0,-0.001699466
2025-11-21 18:06:32,Close short,USDT,BTCUSDT,0.0001,85115.8,8.51158,-0.07844,-0.083546948,-0.005106948
2025-11-21 18:03:30,Close short,USDT,SOLUSDT,0.2,129.15,25.83,-0.161,-0.176498,-0.015498
2025-11-21 17:58:27,Close long,USDT,AAVEUSDT,0.1,157.31,15.731,0.41,0.4005614,-0.0094386
2025-11-21 17:58:22,Open short,USDT,SOLUSDT,0.2,128.345,25.669,0,0,-0.0051338
2025-11-21 17:52:39,Open short,USDT,BTCUSDT,0.0001,84331.4,8.43314,0,0,-0.001686628
2025-11-21 17:46:28,Close long,USDT,ADAUSDT,77,0.4016,30.9232,-0.2156,-0.23415392,-0.01855392
2025-11-21 17:38:06,Open long,USDT,ADAUSDT,77,0.4044,31.1388,0,0,-0.01868328
2025-11-21 17:22:14,Open long,USDT,AAVEUSDT,0.1,153.21,15.321,0,0,-0.0030642
2025-11-21 17:05:10,Close long,USDT,ADAUSDT,72,0.398,28.656,-0.2232,-0.2403936,-0.0171936
2025-11-21 16:03:05,Close short,USDT,SOLUSDT,0.3,127.871,38.3613,0.4338,0.41078322,-0.02301678
2025-11-21 15:47:46,Close short,USDT,BTCUSDT,0.0001,84229,8.4229,0.07312,0.06806626,-0.00505374
